Sorszám;Ut;Azonosito;Kezdo;Veg;Hossz;Tipus;Szorzo;
1;M0;M0u0k0m;0 + 0;0 + 738;939;gyorsforgalmi;0;
2;M0;M0u0k738m;0 + 738;1 + 903;1272;gyorsforgalmi;0.376;
3;M0;M0u1k903m;1 + 903;3 + 440;1554;gyorsforgalmi;0.554;
4;M0;M0u3k440m;3 + 440;9 + 341;5895;gyorsforgalmi;0.933;
5;M0;M0u9k341m;9 + 341;11 + 150;1824;gyorsforgalmi;1;
6;M0;M0u11k150m;11 + 150;13 + 813;2653;gyorsforgalmi;1;
7;M0;M0u13k813m;13 + 813;15 + 633;1814;gyorsforgalmi;0.779;
8;M0;M0u15k633m;15 + 633;17 + 100;1469;gyorsforgalmi;0.502;
9;M0;M0u17k100m;17 + 100;18 + 410;1314;gyorsforgalmi;0.319;
10;M0;M0u18k410m;18 + 410;23 + 667;5256;gyorsforgalmi;0.202;
11;M0;M0u23k667m;23 + 667;26 + 100;2424;gyorsforgalmi;0;
12;M0;M0u26k100m;26 + 100;30 + 779;4665;gyorsforgalmi;0;
13;M0;M0u30k779m;30 + 779;33 + 830;3066;gyorsforgalmi;0;
14;M0;M0u33k830m;33 + 830;36 + 098;2271;gyorsforgalmi;0;
15;M0;M0u36k098m;36 + 098;41 + 155;5049;gyorsforgalmi;0;
16;M0;M0u41k155m;41 + 155;44 + 355;3204;gyorsforgalmi;0;
17;M0;M0u44k355m;44 + 355;48 + 255;3892;gyorsforgalmi;0.779;
18;M0;M0u48k255m;48 + 255;51 + 618;3380;gyorsforgalmi;0.236;
19;M0;M0u51k618m;51 + 618;54 + 185;2544;gyorsforgalmi;0.151;
20;M0;M0u54k185m;54 + 185;55 + 052;872;gyorsforgalmi;0;
21;M0;M0u55k052m;55 + 052;57 + 652;2519;gyorsforgalmi;0;
22;M0;M0u57k652m;57 + 652;59 + 215;1650;gyorsforgalmi;0.358;
23;M0;M0u59k215m;59 + 215;65 + 001;5779;gyorsforgalmi;0.838;
24;M0;M0u65k1m;65 + 001;68 + 194;3141;gyorsforgalmi;0;
25;M0;M0u68k194m;68 + 194;69 + 210;1014;gyorsforgalmi;0;
26;M0;M0u71k171m;71 + 171;72 + 702;1530;gyorsforgalmi;0.557;
27;M0;M0u72k702m;72 + 702;74 + 043;1341;gyorsforgalmi;1;
28;M0;M0u74k43m;74 + 043;77 + 220;3203;gyorsforgalmi;0.222;
29;M1;M1u12k359m;12 + 359;13 + 235;992;gyorsforgalmi;1;
30;M1;M1u13k235m;13 + 235;15 + 701;2455;gyorsforgalmi;0.192;
31;M1;M1u15k701m;15 + 701;17 + 647;1942;gyorsforgalmi;0;
32;M1;M1u17k647m;17 + 647;21 + 695;4050;gyorsforgalmi;0.223;
33;M1;M1u21k695m;21 + 695;26 + 112;4416;gyorsforgalmi;0;
34;M1;M1u26k112m;26 + 112;38 + 609;12512;gyorsforgalmi;0;
35;M1;M1u38k609m;38 + 609;43 + 271;4594;gyorsforgalmi;0.236;
36;M1;M1u43k271m;43 + 271;47 + 975;4775;gyorsforgalmi;0;
